period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.933,,,,,
1-5,0.924,,,,,
2-6,0.920,,,,,
3-7,0.920,,,,,
4-8,0.927,,,,,
5-9,0.938,,,,,
6-10,0.951,,,,,
7-11,0.965,,,,,
8-12,0.977,,,,,
9-13,0.986,,,,,
10-14,0.992,,,,,
11-15,0.995,,,,,
12-16,0.997,,,,,
13-17,0.998,,,,,
14-18,0.998,,,,,
15-19,0.998,,,,,
16-20,0.997,,,,,
17-21,0.995,,,,,
18-22,0.992,,,,,
19-23,0.984,,,,,
20-24,,,,,,
