period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.923,,,,,
1-5,0.902,,,,,
2-6,0.881,,,,,
3-7,0.860,,,,,
4-8,0.841,,,,,
5-9,0.825,,,,,
6-10,0.813,,,,,
7-11,0.806,,,,,
8-12,0.804,,,,,
9-13,0.807,,,,,
10-14,0.814,,,,,
11-15,0.826,,,,,
12-16,0.843,,,,,
13-17,0.861,,,,,
14-18,0.882,,,,,
15-19,0.903,,,,,
16-20,0.923,,,,,
17-21,0.937,,,,,
18-22,0.950,,,,,
19-23,0.961,,,,,
20-24,0.969,,,,,
