period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.927,,,,,
1-5,0.910,,,,,
2-6,0.895,,,,,
3-7,0.882,,,,,
4-8,0.874,,,,,
5-9,0.871,,,,,
6-10,0.874,,,,,
7-11,0.882,,,,,
8-12,0.894,,,,,
9-13,0.909,,,,,
10-14,0.926,,,,,
11-15,0.939,,,,,
12-16,0.951,,,,,
13-17,0.961,,,,,
14-18,0.966,,,,,
15-19,0.959,,,,,
16-20,0.939,,,,,
17-21,0.911,,,,,
18-22,0.862,,,,,
19-23,0.753,,,,,
20-24,,,,,,
