period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.929,,,,,
1-5,0.908,,,,,
2-6,0.887,,,,,
3-7,0.865,,,,,
4-8,0.843,,,,,
5-9,0.823,,,,,
6-10,0.806,,,,,
7-11,0.792,,,,,
8-12,0.782,,,,,
9-13,0.776,,,,,
10-14,0.773,,,,,
11-15,0.774,,,,,
12-16,0.778,,,,,
13-17,0.785,,,,,
14-18,0.796,,,,,
15-19,0.808,,,,,
16-20,0.824,,,,,
17-21,0.841,,,,,
18-22,0.861,,,,,
19-23,0.882,,,,,
20-24,0.903,,,,,
