period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.897,,,,,
1-5,0.871,,,,,
2-6,0.847,,,,,
3-7,0.826,,,,,
4-8,0.809,,,,,
5-9,0.801,,,,,
6-10,0.800,,,,,
7-11,0.809,,,,,
8-12,0.826,,,,,
9-13,0.850,,,,,
10-14,0.878,,,,,
11-15,0.908,,,,,
12-16,0.935,,,,,
13-17,0.957,,,,,
14-18,0.973,,,,,
15-19,0.985,,,,,
16-20,0.991,,,,,
17-21,0.995,,,,,
18-22,0.997,,,,,
19-23,0.998,,,,,
20-24,0.998,,,,,
