period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.954,,,,,
1-5,0.939,,,,,
2-6,0.921,,,,,
3-7,0.902,,,,,
4-8,0.882,,,,,
5-9,0.861,,,,,
6-10,0.841,,,,,
7-11,0.824,,,,,
8-12,0.808,,,,,
9-13,0.795,,,,,
10-14,0.786,,,,,
11-15,0.780,,,,,
12-16,0.776,,,,,
13-17,0.775,,,,,
14-18,0.776,,,,,
15-19,0.779,,,,,
16-20,0.784,,,,,
17-21,0.791,,,,,
18-22,0.801,,,,,
19-23,0.813,,,,,
20-24,0.827,,,,,
