period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.926,,,,,
1-5,0.901,,,,,
2-6,0.875,,,,,
3-7,0.847,,,,,
4-8,0.818,,,,,
5-9,0.790,,,,,
6-10,0.764,,,,,
7-11,0.741,,,,,
8-12,0.722,,,,,
9-13,0.708,,,,,
10-14,0.699,,,,,
11-15,0.695,,,,,
12-16,0.698,,,,,
13-17,0.705,,,,,
14-18,0.719,,,,,
15-19,0.739,,,,,
16-20,0.763,,,,,
17-21,0.791,,,,,
18-22,0.822,,,,,
19-23,0.854,,,,,
20-24,0.884,,,,,
