period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.911,,,,,
1-5,0.888,,,,,
2-6,0.866,,,,,
3-7,0.846,,,,,
4-8,0.827,,,,,
5-9,0.813,,,,,
6-10,0.803,,,,,
7-11,0.799,,,,,
8-12,0.801,,,,,
9-13,0.809,,,,,
10-14,0.821,,,,,
11-15,0.838,,,,,
12-16,0.857,,,,,
13-17,0.878,,,,,
14-18,0.900,,,,,
15-19,0.921,,,,,
16-20,0.939,,,,,
17-21,0.952,,,,,
18-22,0.963,,,,,
19-23,0.972,,,,,
20-24,0.977,,,,,
