period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.891,,,,,
1-5,0.866,,,,,
2-6,0.844,,,,,
3-7,0.827,,,,,
4-8,0.818,,,,,
5-9,0.817,,,,,
6-10,0.826,,,,,
7-11,0.844,,,,,
8-12,0.868,,,,,
9-13,0.896,,,,,
10-14,0.924,,,,,
11-15,0.942,,,,,
12-16,0.958,,,,,
13-17,0.969,,,,,
14-18,0.974,,,,,
15-19,0.969,,,,,
16-20,0.953,,,,,
17-21,0.931,,,,,
18-22,0.894,,,,,
19-23,0.809,,,,,
20-24,,,,,,
