period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.949,,,,,
1-5,0.929,,,,,
2-6,0.906,,,,,
3-7,0.879,,,,,
4-8,0.850,,,,,
5-9,0.821,,,,,
6-10,0.792,,,,,
7-11,0.766,,,,,
8-12,0.743,,,,,
9-13,0.723,,,,,
10-14,0.707,,,,,
11-15,0.695,,,,,
12-16,0.687,,,,,
13-17,0.682,,,,,
14-18,0.681,,,,,
15-19,0.683,,,,,
16-20,0.687,,,,,
17-21,0.695,,,,,
18-22,0.708,,,,,
19-23,0.726,,,,,
20-24,0.749,,,,,
