period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.999,,,,,
1-5,0.999,,,,,
2-6,0.999,,,,,
3-7,0.999,,,,,
4-8,0.998,,,,,
5-9,0.997,,,,,
6-10,0.996,,,,,
7-11,0.993,,,,,
8-12,0.986,,,,,
9-13,,,,,,
10-14,,,,,,
11-15,,,,,,
12-16,,,,,,
13-17,,,,,,
14-18,,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
