period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.899,,,,,
1-5,0.870,,,,,
2-6,0.841,,,,,
3-7,0.812,,,,,
4-8,0.786,,,,,
5-9,0.765,,,,,
6-10,0.752,,,,,
7-11,0.749,,,,,
8-12,0.757,,,,,
9-13,0.776,,,,,
10-14,0.805,,,,,
11-15,0.840,,,,,
12-16,0.878,,,,,
13-17,0.913,,,,,
14-18,0.943,,,,,
15-19,0.966,,,,,
16-20,0.981,,,,,
17-21,0.989,,,,,
18-22,0.994,,,,,
19-23,0.997,,,,,
20-24,0.998,,,,,
