period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.904,,,,,
1-5,0.877,,,,,
2-6,0.850,,,,,
3-7,0.823,,,,,
4-8,0.796,,,,,
5-9,0.773,,,,,
6-10,0.754,,,,,
7-11,0.741,,,,,
8-12,0.735,,,,,
9-13,0.738,,,,,
10-14,0.749,,,,,
11-15,0.768,,,,,
12-16,0.793,,,,,
13-17,0.822,,,,,
14-18,0.854,,,,,
15-19,0.884,,,,,
16-20,0.913,,,,,
17-21,0.932,,,,,
18-22,0.948,,,,,
19-23,0.961,,,,,
20-24,0.970,,,,,
