period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.940,,,,,
1-5,0.932,,,,,
2-6,0.927,,,,,
3-7,0.927,,,,,
4-8,0.932,,,,,
5-9,0.942,,,,,
6-10,0.950,,,,,
7-11,0.959,,,,,
8-12,0.967,,,,,
9-13,0.972,,,,,
10-14,0.970,,,,,
11-15,0.959,,,,,
12-16,0.941,,,,,
13-17,0.906,,,,,
14-18,0.808,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
