period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.927,,,,,
1-5,0.910,,,,,
2-6,0.895,,,,,
3-7,0.882,,,,,
4-8,0.874,,,,,
5-9,0.871,,,,,
6-10,0.866,,,,,
7-11,0.865,,,,,
8-12,0.866,,,,,
9-13,0.870,,,,,
10-14,0.876,,,,,
11-15,0.877,,,,,
12-16,0.875,,,,,
13-17,0.862,,,,,
14-18,0.801,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
