period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.956,,,,,
1-5,0.940,,,,,
2-6,0.921,,,,,
3-7,0.897,,,,,
4-8,0.870,,,,,
5-9,0.840,,,,,
6-10,0.809,,,,,
7-11,0.779,,,,,
8-12,0.750,,,,,
9-13,0.726,,,,,
10-14,0.707,,,,,
11-15,0.695,,,,,
12-16,0.690,,,,,
13-17,0.692,,,,,
14-18,0.702,,,,,
15-19,0.719,,,,,
16-20,0.742,,,,,
17-21,0.770,,,,,
18-22,0.802,,,,,
19-23,0.837,,,,,
20-24,0.872,,,,,
