period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.966,,,,,
1-5,0.966,,,,,
2-6,0.969,,,,,
3-7,0.975,,,,,
4-8,0.982,,,,,
5-9,0.988,,,,,
6-10,0.992,,,,,
7-11,0.995,,,,,
8-12,0.997,,,,,
9-13,0.998,,,,,
10-14,0.998,,,,,
11-15,0.997,,,,,
12-16,0.996,,,,,
13-17,0.993,,,,,
14-18,0.982,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
