period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.931,,,,,
1-5,0.915,,,,,
2-6,0.902,,,,,
3-7,0.892,,,,,
4-8,0.885,,,,,
5-9,0.884,,,,,
6-10,0.888,,,,,
7-11,0.896,,,,,
8-12,0.908,,,,,
9-13,0.922,,,,,
10-14,0.937,,,,,
11-15,0.948,,,,,
12-16,0.958,,,,,
13-17,0.966,,,,,
14-18,0.970,,,,,
15-19,0.964,,,,,
16-20,0.948,,,,,
17-21,0.923,,,,,
18-22,0.880,,,,,
19-23,0.781,,,,,
20-24,,,,,,
