period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.908,,,,,
1-5,0.886,,,,,
2-6,0.866,,,,,
3-7,0.850,,,,,
4-8,0.839,,,,,
5-9,0.836,,,,,
6-10,0.840,,,,,
7-11,0.853,,,,,
8-12,0.871,,,,,
9-13,0.894,,,,,
10-14,0.917,,,,,
11-15,0.934,,,,,
12-16,0.949,,,,,
13-17,0.960,,,,,
14-18,0.966,,,,,
15-19,0.959,,,,,
16-20,0.939,,,,,
17-21,0.911,,,,,
18-22,0.862,,,,,
19-23,0.755,,,,,
20-24,,,,,,
