period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.955,,,,,
1-5,0.949,,,,,
2-6,0.946,,,,,
3-7,0.946,,,,,
4-8,0.949,,,,,
5-9,0.955,,,,,
6-10,0.960,,,,,
7-11,0.966,,,,,
8-12,0.971,,,,,
9-13,0.975,,,,,
10-14,0.972,,,,,
11-15,0.962,,,,,
12-16,0.946,,,,,
13-17,0.914,,,,,
14-18,0.824,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
