period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.925,,,,,
1-5,0.896,,,,,
2-6,0.862,,,,,
3-7,0.826,,,,,
4-8,0.788,,,,,
5-9,0.753,,,,,
6-10,0.719,,,,,
7-11,0.689,,,,,
8-12,0.664,,,,,
9-13,0.644,,,,,
10-14,0.631,,,,,
11-15,0.627,,,,,
12-16,0.631,,,,,
13-17,0.644,,,,,
14-18,0.666,,,,,
15-19,0.696,,,,,
16-20,0.730,,,,,
17-21,0.769,,,,,
18-22,0.809,,,,,
19-23,0.849,,,,,
20-24,0.887,,,,,
