period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.957,,,,,
1-5,0.951,,,,,
2-6,0.948,,,,,
3-7,0.949,,,,,
4-8,0.952,,,,,
5-9,0.959,,,,,
6-10,0.964,,,,,
7-11,0.970,,,,,
8-12,0.976,,,,,
9-13,0.979,,,,,
10-14,0.977,,,,,
11-15,0.968,,,,,
12-16,0.954,,,,,
13-17,0.926,,,,,
14-18,0.847,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
