period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.888,,,,,
1-5,0.860,,,,,
2-6,0.833,,,,,
3-7,0.808,,,,,
4-8,0.788,,,,,
5-9,0.776,,,,,
6-10,0.773,,,,,
7-11,0.781,,,,,
8-12,0.800,,,,,
9-13,0.828,,,,,
10-14,0.862,,,,,
11-15,0.899,,,,,
12-16,0.932,,,,,
13-17,0.959,,,,,
14-18,0.977,,,,,
15-19,0.988,,,,,
16-20,0.994,,,,,
17-21,0.996,,,,,
18-22,0.998,,,,,
19-23,0.998,,,,,
20-24,0.998,,,,,
