period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.954,,,,,
1-5,0.936,,,,,
2-6,0.916,,,,,
3-7,0.894,,,,,
4-8,0.871,,,,,
5-9,0.849,,,,,
6-10,0.828,,,,,
7-11,0.811,,,,,
8-12,0.795,,,,,
9-13,0.783,,,,,
10-14,0.773,,,,,
11-15,0.767,,,,,
12-16,0.763,,,,,
13-17,0.762,,,,,
14-18,0.763,,,,,
15-19,0.766,,,,,
16-20,0.771,,,,,
17-21,0.777,,,,,
18-22,0.785,,,,,
19-23,0.796,,,,,
20-24,0.808,,,,,
