period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.928,,,,,
1-5,0.904,,,,,
2-6,0.876,,,,,
3-7,0.845,,,,,
4-8,0.813,,,,,
5-9,0.782,,,,,
6-10,0.753,,,,,
7-11,0.727,,,,,
8-12,0.706,,,,,
9-13,0.692,,,,,
10-14,0.685,,,,,
11-15,0.689,,,,,
12-16,0.703,,,,,
13-17,0.726,,,,,
14-18,0.758,,,,,
15-19,0.796,,,,,
16-20,0.836,,,,,
17-21,0.876,,,,,
18-22,0.913,,,,,
19-23,0.943,,,,,
20-24,0.966,,,,,
