period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.912,,,,,
1-5,0.883,,,,,
2-6,0.852,,,,,
3-7,0.818,,,,,
4-8,0.785,,,,,
5-9,0.755,,,,,
6-10,0.728,,,,,
7-11,0.706,,,,,
8-12,0.731,,,,,
9-13,0.707,,,,,
10-14,0.688,,,,,
11-15,0.673,,,,,
12-16,0.664,,,,,
13-17,0.662,,,,,
14-18,0.668,,,,,
15-19,0.682,,,,,
16-20,0.704,,,,,
17-21,0.734,,,,,
18-22,0.770,,,,,
19-23,0.811,,,,,
20-24,0.854,,,,,
