period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.925,,,,,
1-5,0.916,,,,,
2-6,0.911,,,,,
3-7,0.913,,,,,
4-8,0.920,,,,,
5-9,0.934,,,,,
6-10,0.951,,,,,
7-11,0.967,,,,,
8-12,0.980,,,,,
9-13,0.989,,,,,
10-14,0.994,,,,,
11-15,0.997,,,,,
12-16,0.998,,,,,
13-17,0.998,,,,,
14-18,0.998,,,,,
15-19,0.998,,,,,
16-20,0.997,,,,,
17-21,0.996,,,,,
18-22,0.994,,,,,
19-23,0.987,,,,,
20-24,,,,,,
