period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.902,,,,,
1-5,0.883,,,,,
2-6,0.867,,,,,
3-7,0.854,,,,,
4-8,0.846,,,,,
5-9,0.846,,,,,
6-10,0.853,,,,,
7-11,0.866,,,,,
8-12,0.885,,,,,
9-13,0.906,,,,,
10-14,0.928,,,,,
11-15,0.943,,,,,
12-16,0.956,,,,,
13-17,0.966,,,,,
14-18,0.971,,,,,
15-19,0.965,,,,,
16-20,0.947,,,,,
17-21,0.922,,,,,
18-22,0.879,,,,,
19-23,0.781,,,,,
20-24,,,,,,
