period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.955,,,,,
1-5,0.951,,,,,
2-6,0.950,,,,,
3-7,0.952,,,,,
4-8,0.958,,,,,
5-9,0.965,,,,,
6-10,0.971,,,,,
7-11,0.977,,,,,
8-12,0.981,,,,,
9-13,0.984,,,,,
10-14,0.983,,,,,
11-15,0.977,,,,,
12-16,0.967,,,,,
13-17,0.947,,,,,
14-18,0.888,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
