period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.982,,,,,
1-5,0.982,,,,,
2-6,0.985,,,,,
3-7,0.988,,,,,
4-8,0.992,,,,,
5-9,0.994,,,,,
6-10,0.996,,,,,
7-11,0.997,,,,,
8-12,0.998,,,,,
9-13,0.999,,,,,
10-14,0.998,,,,,
11-15,0.998,,,,,
12-16,0.997,,,,,
13-17,0.995,,,,,
14-18,0.988,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
