period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.900,,,,,
1-5,0.872,,,,,
2-6,0.843,,,,,
3-7,0.814,,,,,
4-8,0.787,,,,,
5-9,0.765,,,,,
6-10,0.748,,,,,
7-11,0.738,,,,,
8-12,0.737,,,,,
9-13,0.744,,,,,
10-14,0.759,,,,,
11-15,0.781,,,,,
12-16,0.808,,,,,
13-17,0.838,,,,,
14-18,0.869,,,,,
15-19,0.898,,,,,
16-20,0.924,,,,,
17-21,0.941,,,,,
18-22,0.956,,,,,
19-23,0.967,,,,,
20-24,0.974,,,,,
