period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.945,,,,,
1-5,0.929,,,,,
2-6,0.911,,,,,
3-7,0.891,,,,,
4-8,0.870,,,,,
5-9,0.848,,,,,
6-10,0.824,,,,,
7-11,0.799,,,,,
8-12,0.774,,,,,
9-13,0.749,,,,,
10-14,0.726,,,,,
11-15,0.707,,,,,
12-16,0.691,,,,,
13-17,0.679,,,,,
14-18,0.674,,,,,
15-19,0.675,,,,,
16-20,0.683,,,,,
17-21,0.700,,,,,
18-22,0.725,,,,,
19-23,0.758,,,,,
20-24,0.796,,,,,
