period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.989,,,,,
1-5,0.988,,,,,
2-6,0.988,,,,,
3-7,0.985,,,,,
4-8,0.976,,,,,
5-9,0.959,,,,,
6-10,0.936,,,,,
7-11,0.897,,,,,
8-12,0.810,,,,,
9-13,,,,,,
10-14,,,,,,
11-15,,,,,,
12-16,,,,,,
13-17,,,,,,
14-18,,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
