period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.934,,,,,
1-5,0.927,,,,,
2-6,0.925,,,,,
3-7,0.927,,,,,
4-8,0.935,,,,,
5-9,0.947,,,,,
6-10,0.956,,,,,
7-11,0.966,,,,,
8-12,0.974,,,,,
9-13,0.979,,,,,
10-14,0.978,,,,,
11-15,0.970,,,,,
12-16,0.957,,,,,
13-17,0.931,,,,,
14-18,0.855,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
