period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.962,,,,,
1-5,0.949,,,,,
2-6,0.933,,,,,
3-7,0.912,,,,,
4-8,0.886,,,,,
5-9,0.856,,,,,
6-10,0.823,,,,,
7-11,0.788,,,,,
8-12,0.753,,,,,
9-13,0.721,,,,,
10-14,0.692,,,,,
11-15,0.668,,,,,
12-16,0.647,,,,,
13-17,0.632,,,,,
14-18,0.622,,,,,
15-19,0.618,,,,,
16-20,0.619,,,,,
17-21,0.628,,,,,
18-22,0.643,,,,,
19-23,0.666,,,,,
20-24,0.696,,,,,
