period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.912,,,,,
1-5,0.889,,,,,
2-6,0.866,,,,,
3-7,0.844,,,,,
4-8,0.824,,,,,
5-9,0.807,,,,,
6-10,0.794,,,,,
7-11,0.788,,,,,
8-12,0.788,,,,,
9-13,0.795,,,,,
10-14,0.809,,,,,
11-15,0.829,,,,,
12-16,0.853,,,,,
13-17,0.879,,,,,
14-18,0.905,,,,,
15-19,0.929,,,,,
16-20,0.949,,,,,
17-21,0.959,,,,,
18-22,0.965,,,,,
19-23,0.965,,,,,
20-24,0.957,,,,,
