period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.920,,,,,
1-5,0.903,,,,,
2-6,0.889,,,,,
3-7,0.880,,,,,
4-8,0.875,,,,,
5-9,0.877,,,,,
6-10,0.885,,,,,
7-11,0.899,,,,,
8-12,0.916,,,,,
9-13,0.934,,,,,
10-14,0.951,,,,,
11-15,0.964,,,,,
12-16,0.974,,,,,
13-17,0.981,,,,,
14-18,0.984,,,,,
15-19,0.981,,,,,
16-20,0.981,,,,,
17-21,0.976,,,,,
18-22,0.970,,,,,
19-23,0.965,,,,,
20-24,0.957,,,,,
