period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.930,,,,,
1-5,0.910,,,,,
2-6,0.889,,,,,
3-7,0.869,,,,,
4-8,0.850,,,,,
5-9,0.835,,,,,
6-10,0.824,,,,,
7-11,0.818,,,,,
8-12,0.818,,,,,
9-13,0.823,,,,,
10-14,0.832,,,,,
11-15,0.845,,,,,
12-16,0.861,,,,,
13-17,0.879,,,,,
14-18,0.898,,,,,
15-19,0.917,,,,,
16-20,0.935,,,,,
17-21,0.947,,,,,
18-22,0.958,,,,,
19-23,0.967,,,,,
20-24,0.973,,,,,
