"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.209788864083858,0.167140826638892,0.25992290964993,-1.32619855457644,0.0203840341600352
"All",0,"85-89",0.156887063504397,0.138885041596599,0.176743546924752,-1.68157471301209,0.00532374049908474
"All",0,"90-94",0.199765348878435,0.184421103225925,0.216048076652763,-1.38776157642474,0.00254698698445368
"All",0,"95-99",0.216120221578888,0.202168952023102,0.230755785193798,-1.28842083050748,0.0018531193934373
"All",0,"00-04",0.147736635792901,0.138167084265157,0.157847588388872,-1.75246439127395,0.00158919197780711
"All",0,"05-09",0.0821422022375664,0.0761052380384791,0.088612112313112,-2.41359055527315,0.00178860142101397
"All",0,"10-14",NA,NA,NA,NA,NA
"east",1,"80-84",0.188527174946826,0.117500327644932,0.288454874031774,-1.45960873841884,0.0806788337407763
"east",1,"85-89",0.173124482167562,0.135683386117123,0.218287926361737,-1.56364327527417,0.0215875614592478
"east",1,"90-94",0.216825092149292,0.188381658866865,0.248249555419948,-1.28426505115451,0.00809067110963214
"east",1,"95-99",0.232518035952897,0.201934806230763,0.26618820676349,-1.19414718356268,0.00844350135796912
"east",1,"00-04",0.186066833929141,0.166798735310475,0.207007731029476,-1.47577232569552,0.00458504708353745
"east",1,"05-09",0.100723142172171,0.0871780078835703,0.116105142972418,-2.18921536269771,0.00661204303388498
"east",1,"10-14",NA,NA,NA,NA,NA
"kigali city",2,"80-84",0.118110869736479,0.058643864192399,0.223558774558521,-2.01044258807625,0.152502227220886
"kigali city",2,"85-89",0.146648908839987,0.0990048208763441,0.211830282382338,-1.76112970371921,0.0520607750357793
"kigali city",2,"90-94",0.198854251886423,0.156329258511987,0.249525682999921,-1.39347073440501,0.0222454979462367
"kigali city",2,"95-99",0.163622690992514,0.123960876503867,0.212890621122862,-1.63151672528226,0.027314978140138
"kigali city",2,"00-04",0.121926909751614,0.0913131165214293,0.160985996732196,-1.97430807166261,0.0272256737961054
"kigali city",2,"05-09",0.0595376034914334,0.0447255143667509,0.0788502209867115,-2.75976356111298,0.0236934665662905
"kigali city",2,"10-14",NA,NA,NA,NA,NA
"north",3,"80-84",0.263916408489614,0.176903479732075,0.374267229150175,-1.02571126920341,0.0681762301155842
"north",3,"85-89",0.170301436268858,0.129659534302097,0.220455752075185,-1.58349243720833,0.0267365676950569
"north",3,"90-94",0.200164609678565,0.165068235825526,0.240572991029129,-1.38526586797553,0.0144649129941251
"north",3,"95-99",0.223392795143416,0.192676114616447,0.257444815344315,-1.24600305949995,0.00907496213603093
"north",3,"00-04",0.147381035872807,0.122847845092131,0.175831485171903,-1.75529143288631,0.0115284427156875
"north",3,"05-09",0.0804780919493091,0.0672466113122593,0.0960449324372696,-2.43586887212101,0.00978776153629082
"north",3,"10-14",NA,NA,NA,NA,NA
"south",4,"80-84",0.208407549378464,0.133320250151792,0.31062759325961,-1.33455114217525,0.0751694501011288
"south",4,"85-89",0.150930854502444,0.116189584310242,0.193782329851087,-1.72731881171856,0.0236949640920788
"south",4,"90-94",0.226677127192664,0.193296412782293,0.263936370930439,-1.22716999154193,0.0105759378595546
"south",4,"95-99",0.225172940469401,0.197856621649009,0.255061396694526,-1.23577112418665,0.00699925354077667
"south",4,"00-04",0.146745289293031,0.127840959646888,0.167906896852197,-1.76035975069532,0.00664956959867022
"south",4,"05-09",0.0735700595155571,0.0628186812075024,0.0859926887586362,-2.53310028256338,0.00748111188658307
"south",4,"10-14",NA,NA,NA,NA,NA
"west",5,"80-84",0.206181558339654,0.140002056778797,0.292986672065096,-1.34809764041243,0.0568150586223375
"west",5,"85-89",0.134619094479362,0.106175721156018,0.169239417893662,-1.86072049514208,0.0189340677836548
"west",5,"90-94",0.154831289709863,0.126471377540183,0.188180638540027,-1.69720019393762,0.0144158013306985
"west",5,"95-99",0.200037224774513,0.175671652014297,0.226852266004055,-1.38606172251548,0.00665502232806895
"west",5,"00-04",0.116444591603896,0.100381807415833,0.134692858894507,-2.02653845312858,0.00721234735760757
"west",5,"05-09",0.0797269486881463,0.0685948592794857,0.0924862463833015,-2.44606276569163,0.00686674134506783
"west",5,"10-14",NA,NA,NA,NA,NA
