"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.146581885857037,0.129529930939515,0.165451969554528,-1.76166537624808,0.00535724314135478
"All",0,"85-89",0.133548654254325,0.120320912100417,0.147985977596002,-1.86994009446951,0.00371458083430082
"All",0,"90-94",0.11792991223956,0.105956492110564,0.131058025259636,-2.01218103350305,0.00378269331774961
"All",0,"95-99",0.100195536036426,0.0862868992841644,0.116061339154632,-2.19505384033306,0.00706869428750011
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"ashanti",1,"80-84",0.10259979877213,0.0677179713333794,0.152510097467472,-2.1686659463267,0.0535653624757249
"ashanti",1,"85-89",0.124261600571319,0.0943857321665024,0.161903436622469,-1.95267839017054,0.0247822808439848
"ashanti",1,"90-94",0.0743001509680263,0.0513390300530477,0.1063789656321,-2.52243706139509,0.0404441616927765
"ashanti",1,"95-99",0.0802126280908161,0.0540235666366948,0.117520181320337,-2.43946156587249,0.0466523632189105
"ashanti",1,"00-04",NA,NA,NA,NA,NA
"ashanti",1,"05-09",NA,NA,NA,NA,NA
"ashanti",1,"10-14",NA,NA,NA,NA,NA
"brong ahafo",2,"80-84",0.143884656461009,0.0977823607296921,0.206742358783538,-1.78339313238105,0.0501043696661835
"brong ahafo",2,"85-89",0.143842510549575,0.101426513447736,0.200047633924594,-1.78373531788567,0.0411812373607407
"brong ahafo",2,"90-94",0.129837087751789,0.0910162578410338,0.181902476425918,-1.90239995613631,0.0414198160041456
"brong ahafo",2,"95-99",0.123627293576655,0.0688117388429428,0.212160198960497,-1.95852012194222,0.10882555285673
"brong ahafo",2,"00-04",NA,NA,NA,NA,NA
"brong ahafo",2,"05-09",NA,NA,NA,NA,NA
"brong ahafo",2,"10-14",NA,NA,NA,NA,NA
"central",3,"80-84",0.141564704652184,0.0937801573462395,0.20810596351895,-1.80235441881311,0.0565233111185598
"central",3,"85-89",0.147507961270501,0.110082028337739,0.19487174697071,-1.75428172134178,0.0293227073451378
"central",3,"90-94",0.147870499920567,0.109348507258166,0.196962172550358,-1.7514016204866,0.0311662726907765
"central",3,"95-99",0.125261966930824,0.0791779763968868,0.192559254337107,-1.94351717099438,0.067722306252743
"central",3,"00-04",NA,NA,NA,NA,NA
"central",3,"05-09",NA,NA,NA,NA,NA
"central",3,"10-14",NA,NA,NA,NA,NA
"eastern",4,"80-84",0.157166444907897,0.106995177610973,0.224937694744381,-1.67946409253693,0.0509359421251798
"eastern",4,"85-89",0.105939873633996,0.0743493595612295,0.148795335526772,-2.13290132504654,0.0393552005210072
"eastern",4,"90-94",0.0979334174487607,0.0685357661215026,0.138071702868237,-2.22040049993769,0.0393918596278394
"eastern",4,"95-99",0.0901540175745317,0.0576039513203847,0.138395933308994,-2.31175582100698,0.0607490481870894
"eastern",4,"00-04",NA,NA,NA,NA,NA
"eastern",4,"05-09",NA,NA,NA,NA,NA
"eastern",4,"10-14",NA,NA,NA,NA,NA
"greater accra",5,"80-84",0.110414152731233,0.0706789649126702,0.16843925922681,-2.08651769361841,0.0624483661786584
"greater accra",5,"85-89",0.0610701550087565,0.038171457766507,0.0963297947814625,-2.73271747850149,0.0635347956643031
"greater accra",5,"90-94",0.047774633751644,0.0280625057776862,0.0801908562586576,-2.99230691203991,0.0794780711454653
"greater accra",5,"95-99",0.0776364497065422,0.0415856529132768,0.140362808079849,-2.4749024223916,0.11429737052308
"greater accra",5,"00-04",NA,NA,NA,NA,NA
"greater accra",5,"05-09",NA,NA,NA,NA,NA
"greater accra",5,"10-14",NA,NA,NA,NA,NA
"upper w,e & northern",6,"80-84",0.230814959193696,0.196132632995845,0.26957354962703,-1.20371521873148,0.0111465916477087
"upper w,e & northern",6,"85-89",0.175459865437596,0.148215748113698,0.206497779750072,-1.54741548848306,0.0105431519170236
"upper w,e & northern",6,"90-94",0.175031895690535,0.152716177252381,0.199839397500147,-1.55037650573948,0.00692301031839666
"upper w,e & northern",6,"95-99",0.136118392168676,0.110021632268417,0.167241997778606,-1.84791069374583,0.0153221347669657
"upper w,e & northern",6,"00-04",NA,NA,NA,NA,NA
"upper w,e & northern",6,"05-09",NA,NA,NA,NA,NA
"upper w,e & northern",6,"10-14",NA,NA,NA,NA,NA
"volta",7,"80-84",0.102843373092656,0.0625728073688842,0.164483716767997,-2.16602327747,0.076129525520948
"volta",7,"85-89",0.15057951870772,0.10850893124068,0.205206896809147,-1.73006302208662,0.0368026680105238
"volta",7,"90-94",0.134430402772845,0.0926706561299864,0.191045860771409,-1.86234117050947,0.0457261824209005
"volta",7,"95-99",0.0430016326624776,0.019162630117869,0.0936651558880952,-3.10256360156251,0.180580045854789
"volta",7,"00-04",NA,NA,NA,NA,NA
"volta",7,"05-09",NA,NA,NA,NA,NA
"volta",7,"10-14",NA,NA,NA,NA,NA
"western",8,"80-84",0.172585263639302,0.119229765195353,0.243223907846482,-1.56741466799061,0.0486557246390756
"western",8,"85-89",0.157160216364672,0.112885911667012,0.214598483788372,-1.67951111353428,0.0380034787873807
"western",8,"90-94",0.116462616871602,0.0822056089518425,0.162468235932461,-2.02636326711504,0.0388640364609761
"western",8,"95-99",0.113367275001405,0.0775432273325706,0.162820360162839,-2.05679806288632,0.0457904551613771
"western",8,"00-04",NA,NA,NA,NA,NA
"western",8,"05-09",NA,NA,NA,NA,NA
"western",8,"10-14",NA,NA,NA,NA,NA
